Node Number	X Location (in)	Y Location (in)	Z Location (in)	Minimum Principal Stress (psi)
1	2.7052	3.1452	0.	-7794.6
2	1.7916	3.0567	0.	-9494.1
3	0.94542	3.6106	0.	-7141.9
4	3.206	2.1322	0.	-5370.4
5	3.4551	3.3132	0.	-5632.7
6	2.6884	2.5513	0.	-8201.7
7	2.1801	3.2396	0.	-11339
8	16.566	3.0764	0.	-1988.3
9	4.6283	3.9062	0.	-4205.8
10	2.1873	2.5942	0.	-10637
11	2.3708	2.7303	0.	-10264
12	3.8606	1.5508	0.	-4505.9
13	3.8606	1.5508	0.1	-67.492
14	2.3708	2.7303	0.1	-1432.7
15	2.1873	2.5942	0.1	-976.15
16	4.6283	3.9062	0.1	-278.1
17	16.566	3.0764	0.1	103.82
18	2.1801	3.2396	0.1	-1968.5
19	2.6884	2.5513	0.1	-69.778
20	3.4551	3.3132	0.1	-382.74
21	3.206	2.1322	0.1	-187.18
22	0.94542	3.6106	0.1	-562.97
23	1.7916	3.0567	0.1	45.447
24	2.7052	3.1452	0.1	-1062.4
25	2.1667	1.	0.1	336.81
26	2.1667	1.5	0.1	461.71
27	2.1667	2.	0.1	2284.4
28	2.	2.	0.1	-858.18
29	2.	1.5	0.1	-54.05
30	2.	1.	0.1	-1246.5
31	2.1667	5.	0.1	175.9
32	2.1667	4.5	0.1	1074.3
33	2.1667	4.	0.1	1144.9
34	2.	4.	0.1	1767.3
35	2.	4.5	0.1	-1475.3
36	2.	5.	0.1	358.07
37	2.1667	6.	0.1	-771.79
38	5.8056	6.	0.1	26.074
39	9.4444	6.	0.1	39.851
40	16.722	6.	0.1	-63.585
41	24.	6.	0.1	196.7
42	24.	3.	0.1	231.58
43	2.6226e-014	3.	0.1	3078.6
44	3.937e-014	6.	0.1	1823.9
45	1.	6.	0.1	-1051.
46	2.	6.	0.1	787.15
47	24.	0.	0.1	49.495
48	18.178	0.	0.1	-395.22
49	12.356	0.	0.1	-245.69
50	7.9889	0.	0.1	-113.78
51	5.0778	0.	0.1	-272.77
52	2.1667	0.	0.1	-855.45
53	2.	0.	0.1	-968.48
54	0.	0.	0.1	1868.8
55	2.	0.	0.	-3377.7
56	0.	0.	0.	-4454.5
57	5.0778	0.	0.	-3612.5
58	7.9889	0.	0.	-2844.1
59	12.356	0.	0.	-2733.3
60	18.178	0.	0.	-1492.2
61	2.1667	0.	0.	-3901.
62	24.	0.	0.	-1038.7
63	1.	6.	0.	-3310.4
64	2.	6.	0.	-4459.6
65	3.937e-014	6.	0.	-3772.9
66	2.6226e-014	3.	0.	-6812.9
67	24.	3.	0.	-1202.
68	24.	6.	0.	-1197.4
69	16.722	6.	0.	-1730.5
70	9.4444	6.	0.	-2946.5
71	5.8056	6.	0.	-3537.3
72	2.1667	6.	0.	-4301.4
73	2.	4.5	0.	-11434
74	2.	5.	0.	-5305.9
75	2.	4.	0.	-18249
76	2.1667	5.	0.	-7323.3
77	2.1667	4.5	0.	-11059
78	2.1667	4.	0.	-25392
79	2.	1.5	0.	-12784
80	2.	1.	0.	-8715.3
81	2.	2.	0.	-24900
82	2.1667	1.	0.	-5997.9
83	2.1667	1.5	0.	-9714.
84	2.1667	2.	0.	-23115
85	3.0801	3.2292	0.	-6708.2
86	2.6968	2.8482	0.	-7976.7
87	2.4426	3.1924	0.	-9560.3
88	2.7052	3.1452	5.e-002	-488.11
89	2.4359	3.5726	0.	-16401
90	1.3685	3.3337	0.	-8317.6
91	1.9858	3.1481	0.	-10394
92	1.9894	2.8254	0.	-10046
93	1.7916	3.0567	5.e-002	-366.26
94	1.8958	2.5284	0.	-16388
95	0.94542	3.6106	5.e-002	-112.33
96	0.97271	4.8053	0.	-5161.8
97	0.47271	3.3053	0.	-6935.2
98	1.4727	4.0553	0.	-8736.2
99	1.4727	4.3053	0.	-5972.2
100	1.4727	3.8053	0.	-12688
101	1.4727	2.5553	0.	-9372.7
102	3.3306	2.7227	0.	-5469.1
103	2.9472	2.3417	0.	-6784.5
104	3.5333	1.8415	0.	-4937.1
105	3.206	2.1322	5.e-002	-136.16
106	2.6864	1.8161	0.	-7355.1
107	4.0417	3.6097	0.	-4915.7
108	3.4551	3.3132	5.e-002	-119.8
109	2.8109	3.9066	0.	-8159.4
110	2.5296	2.6408	0.	-9230.6
111	2.6884	2.5513	5.e-002	-244.22
112	2.4275	2.2756	0.	-15645
113	2.2755	2.985	0.	-10800
114	2.1801	3.2396	5.e-002	-268.36
115	2.0901	3.6198	0.	-14707
116	16.566	3.0764	5.e-002	-32.76
117	12.278	1.5382	0.	-2415.5
118	14.461	1.5382	0.	-2360.6
119	17.372	1.5382	0.	-1737.9
